email,action,dt
mail.ru,UPDATE,2024-11-15 17:34:44
mail.ru,READ,2024-11-15 21:45:50
ya.ru,DELETE,2024-11-15 20:55:34
ya.ru,CREATE,2024-11-15 21:04:53
gmail.com,DELETE,2024-11-15 06:26:45
gmail.com,READ,2024-11-15 23:44:48
ya.ru,DELETE,2024-11-15 00:36:35
mail.ru,UPDATE,2024-11-15 02:36:16
gmail.com,UPDATE,2024-11-15 22:09:49
ya.ru,DELETE,2024-11-15 08:41:08
mail.ru,READ,2024-11-15 08:17:23
mail.ru,READ,2024-11-15 11:27:49
ya.ru,DELETE,2024-11-15 22:13:33
gmail.com,UPDATE,2024-11-15 06:35:30
ya.ru,UPDATE,2024-11-15 01:21:15
gmail.com,CREATE,2024-11-15 14:35:59
gmail.com,CREATE,2024-11-15 19:16:16
mail.ru,READ,2024-11-15 00:16:00
ya.ru,CREATE,2024-11-15 01:26:26
gmail.com,DELETE,2024-11-15 09:00:09
mail.ru,UPDATE,2024-11-15 11:13:18
mail.ru,CREATE,2024-11-15 15:00:35
mail.ru,UPDATE,2024-11-15 17:43:35
gmail.com,UPDATE,2024-11-15 17:04:16
ya.ru,CREATE,2024-11-15 23:21:19
ya.ru,DELETE,2024-11-15 16:06:31
mail.ru,CREATE,2024-11-15 21:20:07
ya.ru,UPDATE,2024-11-15 18:48:38
gmail.com,UPDATE,2024-11-15 05:43:47
ya.ru,READ,2024-11-15 21:12:58
mail.ru,CREATE,2024-11-15 14:58:14
mail.ru,READ,2024-11-15 03:36:54
ya.ru,UPDATE,2024-11-15 17:33:55
mail.ru,DELETE,2024-11-15 16:53:07
ya.ru,READ,2024-11-15 18:41:46
ya.ru,CREATE,2024-11-15 12:49:12
gmail.com,READ,2024-11-15 11:26:41
gmail.com,CREATE,2024-11-15 19:49:57
ya.ru,CREATE,2024-11-15 00:54:27
gmail.com,UPDATE,2024-11-15 13:48:05
ya.ru,DELETE,2024-11-15 12:52:46
mail.ru,DELETE,2024-11-15 14:00:04
gmail.com,READ,2024-11-15 05:16:30
gmail.com,UPDATE,2024-11-15 05:47:08
gmail.com,READ,2024-11-15 11:31:54
ya.ru,UPDATE,2024-11-15 21:10:10
gmail.com,DELETE,2024-11-15 10:53:46
gmail.com,READ,2024-11-15 05:38:51
ya.ru,CREATE,2024-11-15 10:12:28
ya.ru,DELETE,2024-11-15 23:47:50
mail.ru,READ,2024-11-15 06:50:38
gmail.com,UPDATE,2024-11-15 06:52:25
mail.ru,UPDATE,2024-11-15 16:17:09
ya.ru,UPDATE,2024-11-15 02:12:34
mail.ru,UPDATE,2024-11-15 16:09:13
gmail.com,UPDATE,2024-11-15 23:01:15
gmail.com,CREATE,2024-11-15 22:06:54
ya.ru,READ,2024-11-15 20:27:00
mail.ru,READ,2024-11-15 23:52:55
