email,action,dt
gmail.com,READ,2024-01-03 22:39:22
ya.ru,UPDATE,2024-01-03 19:31:20
gmail.com,CREATE,2024-01-03 08:35:02
gmail.com,CREATE,2024-01-03 11:45:04
gmail.com,DELETE,2024-01-03 16:16:17
ya.ru,UPDATE,2024-01-03 05:48:01
mail.ru,DELETE,2024-01-03 14:31:29
mail.ru,READ,2024-01-03 02:51:21
ya.ru,CREATE,2024-01-03 14:47:32
ya.ru,CREATE,2024-01-03 13:37:57
ya.ru,CREATE,2024-01-03 02:27:19
gmail.com,CREATE,2024-01-03 06:48:39
ya.ru,UPDATE,2024-01-03 00:46:18
ya.ru,UPDATE,2024-01-03 09:24:30
mail.ru,CREATE,2024-01-03 01:14:34
ya.ru,DELETE,2024-01-03 20:56:06
ya.ru,DELETE,2024-01-03 06:59:29
mail.ru,READ,2024-01-03 09:59:03
mail.ru,READ,2024-01-03 19:11:19
ya.ru,CREATE,2024-01-03 09:36:59
ya.ru,CREATE,2024-01-03 07:05:33
mail.ru,DELETE,2024-01-03 19:19:21
mail.ru,DELETE,2024-01-03 01:09:57
ya.ru,CREATE,2024-01-03 22:32:53
gmail.com,READ,2024-01-03 19:57:18
ya.ru,CREATE,2024-01-03 15:57:49
mail.ru,DELETE,2024-01-03 07:29:45
gmail.com,READ,2024-01-03 00:26:51
mail.ru,CREATE,2024-01-03 08:54:52
gmail.com,UPDATE,2024-01-03 16:50:34
gmail.com,DELETE,2024-01-03 14:43:55
ya.ru,DELETE,2024-01-03 13:13:11
ya.ru,DELETE,2024-01-03 17:41:44
mail.ru,READ,2024-01-03 06:09:05
ya.ru,DELETE,2024-01-03 06:24:43
mail.ru,READ,2024-01-03 14:49:08
ya.ru,CREATE,2024-01-03 13:10:17
mail.ru,CREATE,2024-01-03 02:51:22
mail.ru,READ,2024-01-03 19:04:58
gmail.com,DELETE,2024-01-03 20:18:55
gmail.com,CREATE,2024-01-03 22:54:07
ya.ru,CREATE,2024-01-03 23:32:17
mail.ru,DELETE,2024-01-03 01:01:18
gmail.com,CREATE,2024-01-03 19:49:04
gmail.com,CREATE,2024-01-03 19:29:33
gmail.com,READ,2024-01-03 04:14:52
gmail.com,READ,2024-01-03 11:22:25
gmail.com,UPDATE,2024-01-03 05:01:22
ya.ru,READ,2024-01-03 21:53:00
mail.ru,CREATE,2024-01-03 06:31:27
ya.ru,UPDATE,2024-01-03 07:05:48
mail.ru,READ,2024-01-03 19:47:28
mail.ru,CREATE,2024-01-03 02:20:21
ya.ru,READ,2024-01-03 16:56:53
ya.ru,CREATE,2024-01-03 19:01:32
mail.ru,UPDATE,2024-01-03 15:50:10
gmail.com,CREATE,2024-01-03 04:55:38
mail.ru,DELETE,2024-01-03 17:15:14
ya.ru,READ,2024-01-03 23:48:10
mail.ru,CREATE,2024-01-03 03:14:53
mail.ru,DELETE,2024-01-03 06:24:01
gmail.com,UPDATE,2024-01-03 22:14:01
mail.ru,READ,2024-01-03 04:08:27
gmail.com,UPDATE,2024-01-03 08:34:25
gmail.com,UPDATE,2024-01-03 04:11:08
ya.ru,DELETE,2024-01-03 15:13:48
mail.ru,READ,2024-01-03 18:43:38
mail.ru,DELETE,2024-01-03 08:43:08
mail.ru,READ,2024-01-03 04:26:55
mail.ru,CREATE,2024-01-03 22:02:55
mail.ru,READ,2024-01-03 02:14:05
gmail.com,CREATE,2024-01-03 13:45:15
ya.ru,CREATE,2024-01-03 14:58:24
gmail.com,UPDATE,2024-01-03 17:55:12
mail.ru,READ,2024-01-03 18:24:02
ya.ru,CREATE,2024-01-03 15:19:04
mail.ru,READ,2024-01-03 22:41:49
gmail.com,CREATE,2024-01-03 03:39:08
mail.ru,READ,2024-01-03 05:44:47
gmail.com,READ,2024-01-03 11:32:20
gmail.com,DELETE,2024-01-03 05:01:40
ya.ru,CREATE,2024-01-03 09:18:32
mail.ru,READ,2024-01-03 17:37:13
ya.ru,READ,2024-01-03 16:29:37
mail.ru,UPDATE,2024-01-03 00:24:57
mail.ru,READ,2024-01-03 23:47:19
mail.ru,CREATE,2024-01-03 17:19:00
ya.ru,CREATE,2024-01-03 22:46:06
gmail.com,DELETE,2024-01-03 17:30:04
gmail.com,DELETE,2024-01-03 21:29:22
gmail.com,UPDATE,2024-01-03 11:24:03
ya.ru,UPDATE,2024-01-03 18:05:21
gmail.com,UPDATE,2024-01-03 19:42:28
ya.ru,UPDATE,2024-01-03 06:56:25
gmail.com,CREATE,2024-01-03 16:00:39
mail.ru,DELETE,2024-01-03 08:51:22
ya.ru,DELETE,2024-01-03 12:08:46
gmail.com,UPDATE,2024-01-03 23:12:46
gmail.com,READ,2024-01-03 01:47:37
mail.ru,READ,2024-01-03 03:24:25
gmail.com,READ,2024-01-03 01:21:16
ya.ru,UPDATE,2024-01-03 19:54:57
mail.ru,UPDATE,2024-01-03 10:10:37
mail.ru,UPDATE,2024-01-03 01:53:31
gmail.com,CREATE,2024-01-03 19:02:07
mail.ru,UPDATE,2024-01-03 03:11:19
gmail.com,DELETE,2024-01-03 21:37:22
ya.ru,UPDATE,2024-01-03 13:42:18
ya.ru,READ,2024-01-03 10:46:04
mail.ru,UPDATE,2024-01-03 06:54:51
ya.ru,UPDATE,2024-01-03 07:45:37
gmail.com,READ,2024-01-03 04:51:08
ya.ru,READ,2024-01-03 16:53:15
mail.ru,READ,2024-01-03 03:32:31
mail.ru,UPDATE,2024-01-03 01:04:54
mail.ru,DELETE,2024-01-03 17:43:47
ya.ru,UPDATE,2024-01-03 01:26:28
mail.ru,UPDATE,2024-01-03 04:50:47
ya.ru,UPDATE,2024-01-03 13:15:14
mail.ru,UPDATE,2024-01-03 10:08:24
gmail.com,UPDATE,2024-01-03 00:16:06
mail.ru,CREATE,2024-01-03 16:28:26
ya.ru,UPDATE,2024-01-03 19:16:56
gmail.com,READ,2024-01-03 08:04:20
ya.ru,READ,2024-01-03 06:48:54
mail.ru,UPDATE,2024-01-03 11:48:17
mail.ru,CREATE,2024-01-03 07:10:45
gmail.com,READ,2024-01-03 09:34:34
